STATUS,DESCRIPTION,CATEGORY_DESCRIPTION,OBJECT_TYPE_DESCRIPTION,Shape_X,Shape_Y,WKT
OPEN,Waitewaewae Hut,Buildings,Standard Hut,175.306219017,-40.8309432031,POINT (175.306219016769148 -40.830943203093156)
OPEN,Lower Windley Hut,Buildings,Basic Hut/bivvy,168.195736183,-45.5069556687,POINT (168.195736183376312 -45.506955668654406)
OPEN,Upper Te Hoe Hut,Buildings,Standard Hut,176.720028242,-38.8397426166,POINT (176.720028241547368 -38.839742616629131)
OPEN,Liebig Hut,Buildings,Standard Hut,170.310137626,-43.6291442159,POINT (170.310137625617472 -43.629144215872415)
OPEN,Cascade Hut,Buildings,Standard Hut,176.111675062,-39.0579510573,POINT (176.111675062440185 -39.057951057280867)
OPEN,Godley Hut,Buildings,Standard Hut,170.509632364,-43.480603167,POINT (170.509632363813665 -43.480603167001895)
OPEN,Sir Robert Hut,Buildings,Basic Hut/bivvy,171.155192464,-43.0586200919,POINT (171.155192463576697 -43.058620091878424)
OPEN,Kime Hut,Buildings,Standard Hut,175.271741656,-40.9428688735,POINT (175.271741655652477 -40.942868873515529)
OPEN,Barlow Hut,Buildings,Standard Hut,176.211516997,-39.7150311682,POINT (176.21151699708733 -39.715031168163158)
OPEN,Blue River (Blowfly) Hut,Buildings,Standard Hut,169.345753063,-43.7926568881,POINT (169.345753063399542 -43.79265688805242)
OPEN,Barker Hut,Buildings,Standard Hut,171.39760665,-42.9889820729,POINT (171.397606649538034 -42.988982072925467)
OPEN,Halfway Hut,Buildings,Standard Hut,167.143814902,-45.7542975461,POINT (167.143814902489709 -45.754297546050758)
OPEN,Jim's Flat Hut,Buildings,Basic Hut/bivvy,171.730542877,-42.434476019,POINT (171.730542876638225 -42.434476019015413)
OPEN,West Harper Hut,Buildings,Basic Hut/bivvy,171.606471112,-43.1003414063,POINT (171.606471112124268 -43.100341406328575)
OPEN,Hunters Hut,Buildings,Standard Hut,170.751868796,-43.2264775826,POINT (170.751868796455113 -43.226477582565401)
OPEN,Starveall Hut,Buildings,Standard Hut,173.240732539,-41.4586089222,POINT (173.240732539049077 -41.458608922198508)
OPEN,Mangatoatoa Hut,Buildings,Standard Hut,177.167228369,-38.5278183452,POINT (177.167228368966306 -38.527818345249578)
OPEN,Ohora Hut,Buildings,Basic Hut/bivvy,177.017755217,-38.314195175,POINT (177.017755216872956 -38.314195175044922)
OPEN,Upper Caples Hut,Buildings,Serviced Hut,168.222391841,-44.8439471969,POINT (168.222391840996892 -44.843947196855261)
OPEN,Browning Hut,Buildings,Standard Hut,173.276834203,-41.413724198,POINT (173.276834203478245 -41.413724198005667)
OPEN,Top Misery Hut,Buildings,Standard Hut,172.994335114,-41.8844771497,POINT (172.994335113824832 -41.884477149659268)
OPEN,Upper D'Urville Hut,Buildings,Basic Hut/bivvy,172.605864871,-42.1082106858,POINT (172.6058648705054 -42.108210685816452)
OPEN,Wharepapa Hut,Buildings,Basic Hut/bivvy,175.075273113,-41.3259221537,POINT (175.075273112769509 -41.325922153688047)
OPEN,UPPER TRAVERS HUT,Buildings,Serviced Hut,172.748746722,-42.0221135264,POINT (172.748746721819032 -42.022113526381752)
OPEN,Steyning Hut,Buildings,Basic Hut/bivvy,172.557843502,-42.4694539799,POINT (172.557843501960519 -42.469453979937967)
OPEN,ABRAHAMS BAY HUNTERS HUT,Buildings,Basic Hut/bivvy,168.023395153,-46.9479924676,POINT (168.023395152504492 -46.947992467550648)
OPEN,Edwards Hut,Buildings,Serviced Hut,171.647112108,-42.9426044752,POINT (171.647112107883657 -42.942604475219667)
OPEN,Yeats Ridge Hut,Buildings,Basic Hut/bivvy,171.148893006,-42.9842923916,POINT (171.148893006257424 -42.984292391642001)
OPEN,Kahurangi Keepers House,Buildings,Standard Hut,172.227887083,-40.7755031557,POINT (172.227887083105372 -40.775503155738853)
OPEN,Waipawa Forks Hut,Buildings,Standard Hut,176.175728332,-39.798940927,POINT (176.175728332427013 -39.798940927030493)
OPEN,Elizabeth Hut,Buildings,Standard Hut,171.783673405,-42.6883348496,POINT (171.783673405098938 -42.688334849578453)
OPEN,Thor Hut,Buildings,Basic Hut/bivvy,172.437690882,-41.3529268702,POINT (172.43769088238227 -41.35292687015567)
OPEN,Almer Hut,Buildings,Serviced-Alpine Hut,170.208169859,-43.4754360426,POINT (170.20816985862885 -43.475436042632083)
OPEN,Demon Trail Hut,Buildings,Serviced Hut,168.072255194,-44.4946905231,POINT (168.072255194411781 -44.494690523073785)
OPEN,Red Hills Hut,Buildings,Standard Hut,172.991474827,-41.7310252195,POINT (172.991474827224039 -41.731025219548108)
OPEN,SOUTHWEST ARM HUNTERS HUT,Buildings,Basic Hut/bivvy,167.984240463,-46.9356221216,POINT (167.984240462865671 -46.935622121644968)
OPEN,Grassy Flat Hut,Buildings,Standard Hut,171.291909617,-42.891902249,POINT (171.291909617426654 -42.891902249025698)
OPEN,Te Rangaakapua Hut,Buildings,Basic Hut/bivvy,177.204262177,-38.5211242124,POINT (177.204262177360846 -38.521124212371681)
OPEN,Red Stag Hut,Buildings,Basic Hut/bivvy,170.502555107,-43.5400810655,POINT (170.502555106658406 -43.540081065512759)
OPEN,BIG HELLFIRE HUT,Buildings,Standard Hut,167.737917966,-46.8141871188,POINT (167.737917965916665 -46.814187118839691)
OPEN,Mt Fell Hut,Buildings,Standard Hut,173.415480574,-41.4572367781,POINT (173.41548057407644 -41.457236778094845)
OPEN,ISLAND GULLY HUT,Buildings,Standard Hut,172.82608719,-42.1463397338,POINT (172.826087189721306 -42.146339733799422)
OPEN,Poet Hut,Buildings,Standard Hut,171.152210979,-43.0356370313,POINT (171.152210978710031 -43.035637031257771)
OPEN,Steele Creek Hut,Buildings,Basic Hut/bivvy,168.214392278,-44.9261056792,POINT (168.214392277913419 -44.926105679150055)
OPEN,Pfeifer Bivvy,Buildings,Basic Hut/bivvy,171.665266405,-42.8033555605,POINT (171.665266405373842 -42.803355560549562)
